en,fa
formation,تشکیل
forme,فرم
former,قالب گیر
former Soviet Union,شوروی سابق
formerly,سابقا
formfitting,چسبان ببدن
formicarm,لانه مور
formicary,لانه مور
formidability,استواری
formidable,سهمناک
formularization,کوتاه سازی
formulary,کتاب نماز
formulization,فرمول سازی
fornicate,خانم بازی کردن
fornication,خانم بازی
forntiersman,سرحد نشین
forsighredness,عاقبتاندیشی
fort,برج وبارو
fortalice,قلعه کوچک
forte,موسیقی بلند
forth,فوق بکارمیرود
fortieth,چهلمین
fortification,سنگر بندی
fortifications,استحکامات
fortified,محروسه
fortified fortress,حصن حصین
fortify,دارای استحکامات کردن
fortifying,مقوی
fortitude,شهامت اخلاقی
fortnight,دوهفته
fortnightly,دو هفتگی
fortress,قلعه نظامی
fortuity,قضا وقدر
fortunate,خوشبخت بودن
fortunately,از حسن اتفاق
fortune,بحث واقبال
fortune teller,طالع بین
fortune telling,طالع بینی
fortuneteller,طالع بین
fortune-teller,فالگیر
fortunetelling,رمالی
fortune-telling,طالع بینی
forty,یک چهلم
Foruhar,فروهر
forward,بسوی جلو
forwarder,گاراژدار
forwarding,ایصال
forwards,به پیش
forward-thinking,آینده نگر
forwarning,برحذر دارنده
fossil,سنگواره
fossiliferous,سنگواره مانند
fossilize,سخت ومتحجرشدن
fossorial,درخورنقب زنی
foster,رضاعی
foster brother,برادر رضائی
foster child,بچه سرراهی
foster mother,مادر رضایی
fostering justice,عدل پرور
fosterling,فرزند خوانده
foudroyant,گیج کننده
foul,ناجوانمردانه
foul play,ناجوانمردی
foulmouthed,دهان دریده
foul-mouthed,بد دهن
found,پیدا کردن
foundation,پای بست
foundation work,پیریزی
foundations,مبانی
founded,مبتنی
founder,بنیان گذار
founderous,لجن زار
founding,تشکیل دهنده
foundling,لقیط
foundrous,لجن زار
foundry,چدن ریزی
fountain,چشمه
fountain of life,عینالحیات
fountain pen,قلم خودنویس
fountainhead,اصل وسرچشمه
four,چهار
four hundred,چهار صد
four sided,چارپر
four times,چهاربرابر
fourfold,چهار گانه
four-legged,چهارپا
four-sided,چار پهلو
foursome,چهارتایی
fourteen,چهارده
fourth,چهاریک
fourth estate,نشریات ملی
fourth gear,دنده چهار
four-wheeled,چهارچرخه
fowl,پرنده
fowler,شکارچی پرندگان
fox,روباه بازی کردن
foyer,مرکز اجتماع
Foz Del Iguacu,فزدل ایگuآکو
Fozhan,فوژان
fractinize,برخه کردن
fraction,ترک خوردگی
fractionless,بی کسر
fractious,زود رنج
fracture,شکستگی
fragile,شکننده
fragility,زودشکنی
fragment,خرده
fragmental,پاره پاره
fragmentary,جزء جزء
fragmented,ریز کردن
fragrance,شمیمه
fragrances,روائح
fragrant,سمنبر
frail,گول خور
frailty,ضعف اخلاق
fraise,نرده دار کردن
frame,پاپوش دوختن
framework,سفت کاری
franc,فرانک
France,فرانسه
France News Agency,خبرگزاری فرانسه
Francis Temproil,فرانسیس تمپرویل
francolin,دراج
francophil,هواخواه فرانسه
francophile,هواخواه فرانسه
frangipani,بوته یاسمن
frank,اجازه عبور دادن
Frankfurt,فرانکفورت
frankly,بی رودربایستی
frankness,رک گوئی
frankpledge,قدیم انگلستان
frantic,دیوانه وار
frantically,دیوانه وار
fraternal,برادر وار
fraternity,مجمع اخوت
fraternize,برادری کردن
fratricide,برادر کشی
fraud,گوش بر
fraudulence,کلاه برداری
fraudulent,کلاه بردار
fraudulous,کلاه بردار
Frazer,فریزر
freak,ناقصالخلقه
freckle,خالدار کردن
Fred,فرد
free,رایگان
free enterprise,کسب آزاد
free from,منزه
free from greed,چشم و دل سیر
free lance,مفرد کار کردن
free loading,مفت خوری
free spender,ولخرج
free spoken,ساده گو
free thought,آزادی فکر
free will,آزادی اراده
free-born,احرار
freed,آزادشده
freedom,آزادی عمل
freehand,بادست باز
freehanded,گشاده دست
freehearted,بی رودربایستی
freehold,مالکیت مطلق
freeing,آزاد سازی
freeloader,مفتخور
freely,برایگان
Freeman,فریمن
freemason,فراماسیون
freemasonry,فراماسیونی
freemen,آزادگان
freethinker,آزاد فکر
freeway,بزرگ راه
freewheel,با دنده خلاص رفتن
freeze,منجمد ساختن
freezer,منجمد کننده
freezing point,نقطه انجماد
Freiburg,فرایبورگ
freight,گرانبار کردن
freindship,مودت
french,زبان فرانسه
french chalk,گچ درزیگران
french door,در پنجرهای
French marigold,گل جعفری
Frenheimer,فرانهومر
frenzied,شوریده حال
frenzy,شوریده کردن
frequencial,تواتری
frequency,فرکانس
frequent,زود زود
frequently,زودبزود
fresh,تر و تازه
fresh butter,مسکه
fresh dates,رطب
freshness,شادابی
fret,جور بجور کردن
freuqently,غالبا
friars lantern,نور کاذب
fribble,کار بیهوده
fricassee,قلیه کردن
friction,ساییدگی
frictional,اصطکاکی
Friday,روز جمعه
fridge,سردخانه
fried,سرخ کرده
fried fat,جزغال
friend,دوست
friendless,بی دوست
friendliness,خوش مشربی
friendly,خوش برخورد
friends,انصار
friendship,هم نشینی
frier,سرخ کننده
frigate,فرقت
fright,رم دادن
frighten,متوحش ساختن
frightened,وحشتزده
frightening,ترساننده
frightful,وحشت انگیز
frigid,خنک
frigidness,خنکی
fringe,چتر زلف
fringed,حاشیهدار
frisky,شاد وخرم
frith,شعبه رود
frivolity,سبکی
frivolous,بیهوده وبیمعنی
frivolously,سبکسرانه
frizz,جعدوشکن گیسو
frizzle,جزجز کردن
frizzy,فردار
frock,لباس اسموکینگ
frog,شمسه
frolic,ورجه ورجه کردن
From,از
from about,از حدود
from above,از روی
from all over,از سراسر
from behind,از پس
from every corner,از گوشه و کنار
from inside,از داخل
from now on,از این پس
from that time on,از آن به بعد
from the direction of,از جانب
from the middle,از وسط
from the middle of,از وسط
from time immemorial,از عهد دقیانوس
from time to time,بوقت و بیوقت
from where,از کجا
front,مقابل
frontage,جلو خانه
frontal,وابسته بجلو
frontier,سرحد
frontlet,پیشانی بند
frontline,جبهه
frore,یخ زده
frost,سرمازده کردن
frostbite,سرمازدگی
frostbitten,سرمازده
frostwork,طراحی گردی
froth,بکف آوردن
froud,فریب
frounce,کام اسب
frown,ابرو در هم کشیدن
frozen,منجمده
fructify,میوه دار کردن
fructose,ماینه رو
fructuous,پر میوه
frugality,صرفه جویی
frugivorous,میوه خوار
fruit,ثمره
fruit juice,آب میوه
fruiterer,میوه فروش
fruitful,بارور بودن
fruition,میوه آوری
fruitless,بی میوه
fruity,میوهای
frump,زن امل
frustrate,ناامید کردن
frustrated,بیچاره کردن
frustration,محروم سازی
frustum,مخروط ناقص
fruticose,مانند بوته
frying pan,ماهی تابه
fubsy,کوتاه وکلفت
fuchsia,گل گوشواره
fuck,سپوختن
fucoid,جلبکهای فوکاسه
fucus,سرخاب مالیدن
fuel,سوخت گیری کردن
fuel oil,نفت سیاه
fuel up,بنزین گرفتن
fug,بوی ناه دادن
fugacious,زودریز
fugitive,گریخته
fugue,نوعی آلت
Fuhrer,فوهرر
fulcrum,شاهین ترازو
fulfil,تحقق بخشیدن
fulfill,رفع نیاز کردن
fulfillment,انجام
fulfilment,تحقق
fulgurate,آذرخش زدن
fulham,طاس قلابی
full,کامل
full alert,حال آماده باش
full blood,نژاد خالص
full blown,کاملا افراشته
full bodied,عظیم الجثه
full hand,اوچ و پس
full moon,ماه شب چهارده
full of,پر از
full of holes,سوراخ سوراخ
full piece,قواره
full price,تمام شده
full stop,وقفه کامل
full time,تمام وقت
full-blooded,تنی
full-colored,تمام رنگی
fuller,سنگین کننده
full-length,تمام قد
fullness,امتلاء
fully,تماما
fulminant,محترق شونده
fulminate,بیداد راه انداختن
fulminating,محترق شونده
fulvous,زرد کمرنگ
fumble,کورکورانه جلورفتن
fumbling,کورمالی
fume,باغضب حرف زدن
fumigant,تدخینی
fumigate,بخور دادن
fumigation,تدخین
fumitory,شاه تره
fun,شاد
fun lover,عیش طلب
function,کار افتادن
function generator,مولد تابع
functional,وظیفه مندی
functions,اعمال
fund,تهیه وجه کردن
fundamental,سازمانی
fundamentally,از پی
fundametal,بنیانی
funds,تنخواه
funeral,مراسم تشییع جنازه
funeral procession,تشییع جنازه
funeral service,مجلس ترحیم
funerary,ترحیمی
fungible,قابل تعویض
fungoid,قارچ مانند
funicular,کشیدنی بابند
funiculus,بند ناف
funk,کج خلقی
fun-lover,عیشی
funnel,شکل قیفی داشتن
funnelform,قیف مانند
funny,مسخره آمیز
fur,پوستین
furbish,کردن در
furbisher,صیقل گر
furcate,شاخه شاخه
furfuraceous,شوره دار
furious,خشمناک
furiousness,غضبناکی
furl,پیچیدن وبالا زدن
furnace,آتشخانه
furnish,دارای اثاثه کردن
furnished,مبله
furniture,اثباب خانه
furor,عشق مفرط
furred,خزدار کردن
furrier,پوست فروش
furriery,پوست فروشی
furring,خزدوزی
furrow,شیار کردن
furry,خزدار
further,آنطرف تر
furthermore,دیگراینکه
furtive,زیر جلی
Furud,فرود
Furugh,فروغ
Furuzan,فروزان
Furuzandeh,فروزنده
fury,عصبانیت
fuscous,سیه فام
fuse,گداختن
fuselage,بدنه هواپیما
fusible,زود گداز
fusil,قابل ذوب
fusile,قابل ذوب
fusillade,شلیک متوالی
fusion,جوش خوردگی
fuss,ایراد گیری کردن
fustian,سخن گزاف
fustiness,کفک زدگی
fusty,قدیمی مسلک
futile,بینتیجگه
futility,بی فایدگی
futtock,میان چوب
future,بعد آینده
future generation,پسینیان
futureless,بی آتیه
futurism,خیال پرستی
futurity,نسل آینده
fuzz,پرزدارکردن
fuzzy,ریش ریش
gab,گپ زدن
gabardine,پارچه گاباردین
gabber,سخریه کن
gabble,ناشمرده حرف زدن
gable roof,شیروانی
Gabon,گابون
Gabriel,جبرئیل
gad about,ددر رفتن
gadabout,هم جائی
gad-fly,خرمگس
Gadhafi,قزافی
gadroon,خیاره
gaduate,فارغ التحصیل
gaff,تفریحگاهارزان
gag,شیرین کاری
gagger,شوخی کننده
gagman,شوخی کننده
gague,درجه
gain,به دست آوردن
gain a victory,ضفر یافتن
gain acceptance,جلب موافقت
gain access,تقرب جستن
gain height,ارتفاع یافتن
gain respect,آبرو یافتن
gain weight,وزن زیاد کردن
gaingiving,مشتبه سازی
gaining access,راهیابی
gait,گام برداشتن
gaiter,گتر
galactic,عظیم الجثه
galactometer,شیر سنج
galactopoiesis,شیرسازی
galactose,گالا کتوز
galah,ساده لوح
galaxy,کهکشان
galea,صداع عام
Galenic,جالینوسی
galilean,وابسته به گالیله
galimatias,سخن نامفهوم
gall,زرد آب
gallant,دلاوری کردن
gallantry,زن نوازی
galledness,پوست رفتگی
galleried,موزه دار
gallery,جای ارزان
galley,مطالب چاپی
gallic acid,جوهر مازو
gallicism,فرانسوی مآبی
gallicize,فرانسوی مآب شدن
gallicolous,موجد مازو
galligaskins,شلوار کوتاه
gallinaceous,دانه خوار
gallivorous,مازو خوار
gallnut,مازو
gallon,گالن
galloon,یراق
gallop,چهار نعل رفتن
galloper,تازنده
galloping,تازنده
gallowglass,سرباز پیاده
gallows,چوبه دار
gallstone,سنگ صفرا
gallus,بند جوراب
galoot,بند باز
galssy,شیشه مانند
galvanize,آبکاری فلزی کردن
galvanometer,گالوانومتر
galvanoscope,کهربایاب
galyak,قره کل
gambit,موضوع بحث
gamble,شرط بندی کردن
gambler,قمارباز
gambling,مهربازی
gambrel,مفصل خرگوشی
game,بازی
game of marble,تیله بازی
gamekeeper,شکاربان
gamesome,زنده روح
gamey,افتضاح آور
gamine,دختر ولگرد
gaming,قمار بازی
gamma,گاما
gamma ray,اشعه گاما
gammon,مارس کردن
gamy,چاشنی زده
gandey dancer,کارگر سیار
Gandhi,گاندی
gang,گام برداری
gang up,گرد هم آمدن
ganger,مسافر پیاده
Ganges,گنگ
ganglion,غده لنفاوی
gangrene,غانقاریا
gangster,گانگستر
gangue,هرزه سنگ
gangway,پل راهرو
Ganjee,گنجی
ganoid,سگ ماهی
gantline,بندرجه
gantry,زیر بشکه ای
gap,پر حرفی کردن
