x,en,es,de,fa,ar
Beadle,Beadle,Alguacil,Kirchendiener,بیدل,"شماس الكنيسة"
Beadroll,Beadroll,"Rollo De Cuentas",Perlenrolle,"مهره دوزی","لفة خرز"
Beads,Beads,Rosario,Perlen,"مهره ها",خرز
Beadsman,Beadsman,Abalorio,Perlenmann,"مهره دوز",خرزي
Beak,Beak,Pico,Schnabel,منقار,منقار
Beak-Like,Beak-Like,"Con Forma De Pico",Schnabelartig,"منقار مانند","يشبه المنقار"
Beaked,Beaked,"Con Pico",Schnabel,"نوک دار","ذو منقار"
Beaker,Beaker,Cubilete,Becherglas,لیوان,كأس
Beakless,Beakless,"Sin Pico",Schnabellos,"بی منقار","بلا منقار"
Beam,Beam,Haz,Strahl,پرتو,شعاع
Beaming,Beaming,Radiante,Strahlend,"پرتو افشانی",مشرق
Beamy,Beamy,Radiante,Fett,پرتوی,شعاعي
Bean,Bean,Frijol,Bohne,لوبیا,فاصوليا
"Bean Pod","Bean Pod","Vaina De Frijol",Bohnenschote,"غلاف لوبیا","قرون الفاصوليا"
Bear,Bear,Oso,Tragen,خرس,دُبٌّ
"Bear Fruit","Bear Fruit","Dar Fruto","Früchte Tragen","میوه دادن","تؤتي ثمارها"
Bear-Like,Bear-Like,"Parecido A Un Oso",Bärenartig,"خرس مانند","يشبه الدب"
Beard,Beard,Barba,Bart,ریش,لحية
Bearded,Bearded,Barbado,Bärtig,"ریش دار",ملتحي
Beardless,Beardless,Barbilampiño,Bartlos,"بی ریش","بلا لحية"
Bearer,Bearer,Portador,Träger,حامل,حامل
Bearing,Bearing,Cojinete,Lager,بلبرینگ,محمل
"Bearing Fruit","Bearing Fruit","Dando Fruto","Früchte Tragen","میوه دادن","تحمل الفاكهة"
Bearish,Bearish,Osuno,Bärisch,نزولی,سبحة
Beast,Beast,Bestia,Tier,جانور,وحش
Beastly,Beastly,Bestial,Bestialisch,وحشی,وحشي
Beasts,Beasts,Ganado,Bestien,جانوران,الوحوش
Beat,Beat,Derrotar,Schlagen,"ضرب و شتم",يهزم
"Beat A Kettledrum","Beat A Kettledrum","Tocar Un Timbal","Eine Pauke Schlagen","طبل زدن","ضرب طبلة"
"Beat Continuously","Beat Continuously","Batir Continuamente","Ununterbrochen Schlagen","پیوسته بکوبید","الضرب بشكل مستمر"
"Beat Cotton","Beat Cotton","Batir El Algodón","Baumwolle Schlagen","پنبه را بزنید","ضرب القطن"
"Beat Up","Beat Up",Batir,Verprügeln,"کتک زدن",ضرب
Beaten,Beaten,Vencido,Geschlagen,"کتک خورده",مضروب
Beater,Beater,Batidora,Schläger,کوبنده,مضرب
Beatify,Beatify,Beatificar,"Selig Sprechen","مقدس کردن",تطويب
Beating,Beating,Paliza,Prügel,"کتک زدن",الضرب
Beau,Beau,Galán,Schön,بیو,جميل
"Beau Ideal","Beau Ideal","Tipo Ideal",Schönheitsideal,"ایده آل زیبا","الجمال المثالي"
"Beau Monde","Beau Monde","El Bello Mundo","Die Schöne Und Das Biest","دنیای زیبا","عالم جميل"
Beautician,Beautician,Cosmetólogo,Kosmetikerin,آرایشگر,"خبيرة تجميل"
Beautification,Beautification,Embellecimiento,Verschönerung,زیباسازی,تجميل
Beautifier,Beautifier,Embellecedor,Schönheitspflege,"زیبا کننده",مُجمِّل
Beautiful,Beautiful,Hermoso,Schön,زیبا,جميل
Beautify,Beautify,Embellecer,Verschönern,"زیبا کردن",تجميل
Beauty,Beauty,Belleza,Schönheit,زیبایی,جمال
"Beauty Salon","Beauty Salon","Salón De Belleza",Schönheitssalon,"سالن زیبایی","صالون تجميل"
"Beauty Spot","Beauty Spot",Lunar,Schönheitsfleck,"نقطه زیبایی","بقعة جميلة"
"Beaux Arts","Beaux Arts","Bellas Artes","Schöne Künste","هنرهای زیبا","الفنون الجميلة"
Because,Because,Porque,Weil,زیرا,لأن
"Because Of","Because Of","Debido A",Wegen,"به دلیل",بسبب
Beccafico,Beccafico,Becafigo,Beccafico,بکافیکو,بيكافيكو
Become,Become,Convertirse,Werden,"تبدیل شدن",يصبح
"Become A Citizen","Become A Citizen","Conviértete En Ciudadano","Bürger Werden","شهروند شدن","أصبح مواطنًا"
"Become A Habit","Become A Habit","Convertirse En Un Hábito","Zur Gewohnheit Werden","تبدیل به یک عادت شود","تصبح عادة"
"Become A Muslim","Become A Muslim","Convertirse En Musulmán","Werde Ein Muslim","مسلمان شدن","أصبح مسلمًا"
"Become Better","Become Better","Ser Mejor","Besser Werden","بهتر شدن","تصبح أفضل"
"Become Divided","Become Divided",Dividirse,"Geteilt Werden","تفرقه انداختن",انقسموا
"Become Exhusted","Become Exhusted",Cansarse,"Erschöpft Sein","خسته شدن","أصبح مرهقًا"
"Become Famous","Become Famous","Hacerse Famoso","Berühmt Werden","مشهور شدن","أصبح مشهورًا"
"Become Helpless","Become Helpless","Volverse Indefenso","Hilflos Werden","درمانده شدن","أصبح عاجزًا"
"Become Mild","Become Mild","Volverse Suave","Mild Werden","ملایم شدن","تصبح خفيفة"
"Become Nationalized","Become Nationalized",Nacionalizarse,"Verstaatlicht Werden","ملی شدن","تصبح مؤممة"
"Become Official","Become Official","Hacerse Oficial","Offiziell Werden","رسمی شدن","تصبح رسمية"
"Become Poor","Become Poor","Volverse Pobre","Arm Werden","فقیر شدن","يصبح فقيرًا"
"Become Relevant","Become Relevant","Volverse Relevante","Relevant Werden","مرتبط شدن","تصبح ذات صلة"
"Become Sociable","Become Sociable","Volverse Sociable","Gesellig Werden","اجتماعی شدن","أصبح اجتماعيًا"
"Become Sore","Become Sore",Doler,"Wund Werden","دردناک شدن","تصبح مؤلمة"
"Become Tall","Become Tall","Hacerse Alto","Groß Werden","قد بلند شدن","يصبح طويل القامة"
Bed,Bed,Cama,Bett,تخت,سرير
"Bed Fellow","Bed Fellow","Compañero De Cama","Bett Kerl","همکار تخت","زميل السرير"
"Bed Maker","Bed Maker","Fabricante De Camas",Bettenmacher,"تخت خواب ساز","صانعة السرير"
"Bed Of A River","Bed Of A River","Lecho De Un Río","Bett Eines Flusses","بستر یک رودخانه","قاع النهر"
Bedazzle,Bedazzle,Deslumbrar,Blenden,"خیره کننده",أبهر
Bedazzlement,Bedazzlement,Deslumbramiento,Blendwerk,مسحورکننده,البهرجة
Bedchamber,Bedchamber,Dormitorio,Schlafgemach,"اتاق خواب","حجرة النوم"
Bedder,Bedder,Camarera,Bettler,تختخواب,خادمة
Bedding,Bedding,Lecho,Bettzeug,ملافه,الفراش
Bedevil,Bedevil,Molestar,Beunruhigen,"شیطان بد",شيطان
Bedfellow,Bedfellow,"Compañero De Cama",Bettgenosse,همخواب,الرفيق
Bedight,Bedight,Dormir,Bettnacht,"نور تخت",ضوء
Bedmate,Bedmate,"Compañero De Cama",Bettgenosse,همخوابه,"رفيق السرير"
Bedridden,Bedridden,"Postrado En Cama",Bettlägerig,بستری,"طريح الفراش"
Bedroom,Bedroom,Dormitorio,Schlafzimmer,"اتاق خواب","غرفة النوم"
Bedsheet,Bedsheet,Sábana,Bettlaken,ملحفه,"غطاء السرير"
Bedside,Bedside,Cabecera,Bettseite,"کنار تخت","بجانب السرير"
Bedspread,Bedspread,Colcha,Tagesdecke,روتختی,"غطاء سرير"
Bedtime,Bedtime,"Hora De Acostarse",Schlafenszeit,"وقت خواب","وقت النوم"
Bee,Bee,Abeja,Biene,زنبور,نحلة
Beech,Beech,Haya,Buche,راش,"خشب الزان"
Beef,Beef,"Carne De Res",Rindfleisch,"گوشت گاو",لحم
"Beef Brained","Beef Brained","Sesos De Res",Rinderhirn,"مغز گاو","دماغ البقر"
"Beef Cattle","Beef Cattle","Ganado Vacuno",Rindvieh,"گاو گوشتی","ماشية اللحم"
"Beef Stroganoff","Beef Stroganoff","Estofado De Ternera","Beef Stroganoff","بیف استروگانف","ستروجانوف لحم البقر"
Beefsteak,Beefsteak,Bistec,Beefsteak,"استیک گوشت گاو",بفتيك
Beehive,Beehive,Colmena,Bienenstock,"کندوی زنبور عسل","خلية النحل"
Beeline,Beeline,"Línea Recta",Luftlinie,"بی لاین","خط مستقيم"
Been,Been,,,"قسمت سوم فعل	",
Beer,Beer,Cerveza,Bier,آبجو,جعة
"Beer Keg","Beer Keg","Barril De Cerveza",Bierfass,"بشکه آبجو","برميل بيرة"
Beery,Beery,Aguardentoso,Bierig,آبجوسازی,بيري
Bees,Bees,Abejas,Bienen,زنبورها,النحل
Beet,Beet,Remolacha,Zuckerrüben,چغندر,بنجر
Beetle,Beetle,Escarabajo,Käfer,سوسک,خنفساء
Befit,Befit,"Convenir A","Fit Sein","مناسب بودن",لائق
Before,Before,Antes,Vor,"قبل از",قبل
Beforehand,Beforehand,Antemano,Vorher,"از قبل",مسبقًا
Befriend,Befriend,"Ofrecer Amistad",Anfreunden,"دوست شدن",صداقة
Befriending,Befriending,"Entablar Amistad","Freundschaft Schließen","دوست یابی",صداقة
Beg,Beg,Mendigar,Bitten,"التماس کردن",توسل
"Beg For Mercy","Beg For Mercy","Implorar Compasión","Um Gnade Betteln","التماس رحمت","توسل الرحمة"
Began,Began,,,"شروع	",
Beget,Beget,Engendrar,Zeugen,"زاده شدن",أنجب
Beggar,Beggar,Mendigo,Bettler,گدا,متسول
Beggarly,Beggarly,Miserable,Bettelhaft,گدایی,متسول
Begging,Begging,Mendicidad,Betteln,"التماس کردن",التسول
Begin,Begin,Comenzar,Beginnen,شروع,يبدأ
"Begin Speech","Begin Speech","Comenzar El Discurso","Rede Beginnen","شروع سخنرانی","بدء الكلام"
"Begin To Improve","Begin To Improve","Empezar A Mejorar","Beginnen Sich Zu Verbessern","شروع به بهبود کنید","البدء في التحسن"
"Begin To Say","Begin To Say","Empieza A Decir","Anfangen Zu Sagen","شروع به گفتن","ابدأ بالقول"
"Begin To Speak","Begin To Speak","Empezar A Hablar","Anfangen Zu Sprechen","شروع به صحبت کردن","البدء في التحدث"
"Begin To Talk","Begin To Talk","Empezar A Hablar","Anfangen Zu Reden","شروع به صحبت کردن","البدء في الحديث"
Begining,Begining,Comienzo,Anfang,آغاز,البداية
Beginner,Beginner,Principiante,Anfänger,مبتدی,مبتدئ
Beginning,Beginning,Comienzo,Anfang,آغاز,بداية
Beguile,Beguile,Engañar,Betören,"اغوا کردن",لهى
Behave,Behave,Comportarse,Benehmen,"رفتار کردن",تصرف
"Behave Spitefully","Behave Spitefully","Comportarse Con Rencor","Sich Boshaft Verhalten","با کینه رفتار کردن","تصرف بقسوة"
Behavior,Behavior,Comportamiento,Verhalten,رفتار,سلوك
Behaviorism,Behaviorism,Behaviorismo,Behaviorismus,رفتارگرایی,السلوكية
Behaviorist,Behaviorist,Conductista,Behaviorist,رفتارگرا,سلوكي
Behaviors,Behaviors,Comportamientos,Verhaltensweisen,رفتارها,السلوكيات
Behbaha,Behbaha,Behbaha,Behbaha,بهبهاء,بهبهة
Behead,Behead,Decapitar,Enthaupten,"سر بریدن","قطع الرأس"
Beheaded,Beheaded,Decapitado,Enthauptet,"سر بریده شده","مقطوع الرأس"
Beheading,Beheading,Decapitación,Enthauptung,"سر بریدن","قطع الرأس"
Behind,Behind,Detrás,Hinter,پشت,خلف
Behistan,Behistan,Behistán,Behistan,بهستان,بهستان
Behnam,Behnam,Behnam,Behnam,بهنام,بهنام
Behnaz,Behnaz,Behnaz,Behnaz,بهناز,بهناز
Behnush,Behnush,Behnush,Behnush,بهنوش,بهنوش
Behold,Behold,Mirad,Sehen,بنگر,انظر
Behoove,Behoove,Incumbir,"Sich Gebührt",شایسته,يتوجب
Behove,Behove,Corresponder,"Sich Gebührt",به,يتوجب
Behrad,Behrad,Behrad,Behrad,بهراد,بهراد
Behrang,Behrang,Behrang,Behrang,بهرنگ,بهرانج
Behrokh,Behrokh,Behrokh,Behrokh,بهرخ,بهروخ
Behruz,Behruz,Behruz,Behruz,بهروز,بهروز
Behzad,Behzad,Behzad,Behzad,بهزاد,بهزاد
Beige,Beige,Beige,Beige,بژ,البيج
Beijing,Beijing,Pekín,Peking,پکن,بكين
Being,Being,Ser,Sein,بودن,كون
"Being At Home","Being At Home","Estar En Casa","Zu Hause Sein","در خانه بودن","التواجد في المنزل"
"Being Content","Being Content","Estar Contento","Zufrieden Sein","راضی بودن","كونك راضيا"
"Being Open","Being Open","Estar Abierto","Offen Sein","باز بودن","أن تكون منفتحًا"
"Being Veiled","Being Veiled","Estar Velado","Verschleiert Sein","محجبه بودن",محجبة
"Being Wealthy","Being Wealthy","Ser Rico","Wohlhabend Sein","ثروتمند بودن","كونك ثريًا"
"Being Yellow","Being Yellow","Ser Amarillo","Gelb Sein","زرد بودن","كونه أصفر"
Beings,Beings,Seres,Wesen,موجودات,كائنات
Beirut,Beirut,Beirut,Beirut,بیروت,بيروت
Bejewel,Bejewel,Enjoyar,Juwel,بیجواهر,جوهرة
Bejewelled,Bejewelled,Enjoyado,"Mit Juwelen Besetzt","جواهر نشان","مرصع بالجواهر"
Belated,Belated,Tardío,Verspätet,"با تأخیر",متأخر
Belay,Belay,Amarrar,Sicherung,حمایت,ثبت
Belgian,Belgian,Bélgica,Belgien,بلژیک,بلجيكا
Belgium,Belgium,Bélgica,Belgien,بلژیک,بلجيكا
Belgrade,Belgrade,Belgrado,Belgrad,بلگراد,بلغراد
Belie,Belie,Desmentir,"Lügen Strafen","باور کردن",كذب
Belief,Belief,Creencia,Glauben,باور,الاعتقاد
Beliefs,Beliefs,Creencias,Überzeugungen,باورها,المعتقدات
Believable,Believable,Creíble,Glaubhaft,باورپذیر,معقول
Believe,Believe,Creer,Glauben,باور,يعتقد
"Believe In The Possibility","Believe In The Possibility","Creer En La Posibilidad","Glaube An Die Möglichkeit","به امکان ایمان داشته باشید","أؤمن بالاحتمالية"
Believer,Believer,Creyente,Gläubige,مؤمن,مؤمن
"Believer Of Eshragh","Believer Of Eshragh","Creyente De Eshragh","Gläubiger Von Eshragh","مؤمن اشراق","مؤمن الاشراق"
Belittle,Belittle,Empequeñecer,Schmälern,"کوچک شمردن","التقليل من شأن"
Belive,Belive,Creer,Glauben,"باور کن",أعتقد
Bell,Bell,Campana,Glocke,زنگوله,جرس
Bell-Shaped,Bell-Shaped,"En Forma De Campana",Glockenförmig,"زنگوله ای شکل","على شكل جرس"
Bellboy,Bellboy,Botones,Page,پیشخدمت,"صبي الفندق"
"Belleric Myrobalan","Belleric Myrobalan","Mirobálano Belérico","Bellerische Myrobalane","بلریک میروبالان","بيليريك ميروبالان"
Belligerence,Belligerence,Beligerancia,Kriegslust,"ستیزه جویی",العدوانية
Belligerent,Belligerent,Beligerante,Kriegerisch,"جنگ طلب",محارب
Bellows,Bellows,Fuelle,Balg,دم,منفاخ
Bellpull,Bellpull,Tirador,Klingelzug,"زنگوله کشی","سحب الجرس"
Bells,Bells,Campanas,Glocken,"زنگ ها",أجراس
Bellwether,Bellwether,Manso,Leithammel,"بل وِتِر",مؤشر
Belly,Belly,Barriga,Bauch,شکم,بطن
"Belly Button","Belly Button",Ombligo,Bauchnabel,ناف,"زر البطن"
Bellyband,Bellyband,Barriguera,Bauchband,"شکم بند","حزام البطن"
Belong,Belong,Pertenecer,Gehören,"تعلق داشتن","ينتمي ل"
"Belong To","Belong To","Pertenecer A","Gehören Zu","متعلق به","تنتمي إلى"
Belonging,Belonging,Pertenencia,Zugehörigkeit,"تعلق داشتن",الانتماء
"Belonging To","Belonging To","Perteneciente A","Zugehörigkeit Zu","متعلق به","تنتمي إلى"
Belongings,Belongings,Pertenencias,Besitz,متعلقات,متاع
Beloved,Beloved,Amado,Geliebten,محبوب,الحبيب
Below,Below,Abajo,Unten,زیر,أقل
Belt,Belt,Cinturón,Gürtel,کمربند,حزام
"Belt Iron","Belt Iron","Cinturón De Hierro",Gürteleisen,"آهن تسمه ای","حزام حديد"
"Belt Of Orion","Belt Of Orion","Cinturón De Orión","Gürtel Des Orion","کمربند اوریون","حزام الجبار"
"Belt Pulley","Belt Pulley","Polea De Correa",Riemenscheibe,"قرقره تسمه","بكرة الحزام"
"Belt Up","Belt Up","Cerrar El Pico",Anschnallen,"کمربند بالا","اربط الحزام"
